Timestamp,A_x,A_y,A_z,Speed,Lane_Change,No_Of_Veh,Dist_Veh,GPS,X_pos,Phi_angle,Road_width,Target,Driver_tag,Vehicle_Flag,norm_avail,accr_avail,brek_avail,llc_avail,rlc_avail
26,-0.010333333333333333,-0.025777777777777778,0.06968888888888888,84.0,0.0,2.0,17.17,84.7875,0.58,0.069,3.339,1,11,1.0,1,1,1,1,1
27,-0.0078,-0.0262,-0.10682000000000003,85.0,0.0,2.0,17.88,84.22222222222223,0.55,0.041,3.317,2,11,1.0,1,1,1,1,1
28,-0.0124,0.006699999999999999,-0.08232,84.1,0.0,3.0,17.64,84.9,0.623,0.023,3.294,2,11,1.0,1,1,1,1,1
29,-0.0214,0.0434,0.15484000000000003,83.9,0.0,3.0,18.69,84.07777777777778,0.53,0.023,3.367,1,11,1.0,1,1,1,1,1
30,-0.013300000000000001,-0.0093,0.18816000000000002,84.4,0.0,3.0,19.37,83.96249999999999,0.338,0.071,3.372,1,11,1.0,1,1,1,1,1
31,-0.02555555555555556,-0.02444444444444445,0.43228888888888894,84.1,0.0,3.0,20.7,84.35714285714286,0.141,0.033,3.25,1,11,1.0,1,1,1,1,1
32,-0.0033000000000000017,-0.0065000000000000014,0.30968000000000007,86.2,0.0,4.0,20.08,84.36250000000001,-0.192,-0.034,3.208,1,11,1.0,1,1,1,1,1
33,-0.012100000000000001,0.0619,0.13034,88.9,-1.0,2.0,19.75,86.58571428571429,0.0,-0.0,3.436,3,11,1.0,1,1,1,1,1
34,-0.009,0.0338,-0.06271999999999998,91.6,0.0,2.0,999.0,89.2375,0.0,-0.0,7.142,2,11,0.0,1,1,1,1,1
35,-0.009099999999999999,-0.0029999999999999996,-0.11074000000000002,93.8,0.0,2.0,15.7,91.84444444444445,0.474,0.118,3.437,2,11,1.0,1,1,1,1,1
36,-0.0035000000000000005,0.0031000000000000016,-0.12348,95.3,0.0,2.0,16.27,94.13333333333331,0.301,-0.018,3.276,2,11,1.0,1,1,1,1,1
37,0.007000000000000001,-0.0332,-0.03234,96.1,0.0,2.0,17.48,95.39999999999999,0.119,0.051,3.248,0,11,1.0,1,1,1,1,1
38,-0.014199999999999999,0.0027,-1.7000290064572711e-18,96.9,0.0,2.0,20.95,96.2,-0.1,0.102,3.237,0,11,1.0,1,1,1,1,1
39,0.0017000000000000012,-0.0177,0.04018000000000001,98.0,0.0,2.0,22.18,97.0375,-0.129,0.137,3.325,1,11,1.0,1,1,1,1,1
40,-0.004888888888888889,-0.00677777777777778,0.13828888888888893,98.8,0.0,1.0,22.09,98.08888888888889,-0.07,0.104,3.333,1,11,1.0,1,1,1,1,1
41,-0.007799999999999999,0.014600000000000002,0.051940000000000014,100.7,0.0,1.0,22.88,99.22222222222223,-0.27,0.104,3.287,1,11,1.0,1,1,1,1,1
42,-0.0032999999999999995,0.0070999999999999995,-0.014699999999999993,102.5,0.0,1.0,23.41,100.92500000000001,-0.26,0.124,3.285,0,11,1.0,1,1,1,1,1
43,-0.0084,-0.0098,-0.13328,104.0,0.0,1.0,23.69,102.8,-0.19,0.124,3.314,2,11,1.0,1,1,1,1,1
44,-0.0040999999999999995,-0.0104,-0.32339999999999997,105.0,0.0,1.0,23.95,104.11111111111111,-0.228,0.164,3.422,2,11,1.0,1,1,1,1,1
45,-0.0033,0.009,-0.08526000000000002,104.6,0.0,1.0,22.63,104.96,-0.23,0.142,3.429,2,11,1.0,1,1,1,1,1
46,-0.00039999999999999964,-0.0035000000000000005,0.14994000000000005,104.2,0.0,1.0,22.53,104.52000000000001,-0.193,0.128,3.386,1,11,1.0,1,1,1,1,1
47,-0.010600000000000002,-0.019700000000000002,0.14014000000000004,105.3,0.0,2.0,22.89,104.20000000000002,-0.149,0.153,3.404,1,11,1.0,1,1,1,1,1
48,-0.015099999999999999,0.0177,-0.07742000000000002,106.5,0.0,2.0,22.84,105.43333333333332,-0.189,0.114,3.274,2,11,1.0,1,1,1,1,1
49,0.004100000000000001,0.0261,-0.050959999999999984,107.0,0.0,2.0,23.47,106.55555555555556,-0.169,0.118,3.25,2,11,1.0,1,1,1,1,1
50,-0.006399999999999999,0.0161,-0.18130000000000002,107.0,0.0,2.0,23.82,107.0,-0.19,0.133,3.39,2,11,1.0,1,1,1,1,1
51,-0.0021000000000000003,0.004999999999999999,0.15288000000000002,106.3,0.0,2.0,19.34,106.84444444444443,-0.16,0.139,3.422,1,11,1.0,1,1,1,1,1
52,-0.008555555555555556,-0.026777777777777775,0.3125111111111111,106.6,0.0,2.0,16.44,106.33749999999999,-0.18,0.116,3.263,1,11,1.0,1,1,1,1,1
53,-0.0021818181818181815,0.035272727272727275,0.27885454545454547,108.2,0.0,2.0,14.5,106.80000000000001,-0.655,-0.057,3.211,1,11,1.0,1,1,1,1,1
54,0.012,0.041999999999999996,0.16562,110.1,-1.0,2.0,13.42,108.43750000000001,0.0,-0.0,3.362,3,11,1.0,1,1,1,1,1
55,-0.015777777777777776,0.023444444444444445,-0.11977777777777779,112.0,0.0,1.0,999.0,110.10000000000001,0.339,0.076,3.36,2,11,0.0,1,1,1,1,1
56,0.0161,-0.0024999999999999996,-0.12936,112.0,0.0,1.0,999.0,112.0,0.252,0.039,3.21,2,11,0.0,1,1,1,1,1
57,-0.039900000000000005,-0.0201,-0.10486000000000002,114.5,0.0,0.0,999.0,112.3125,0.01,0.089,3.35,2,11,0.0,1,1,1,1,1
58,-0.0257,-0.0243,-0.11172000000000001,115.3,0.0,0.0,999.0,114.67777777777776,-0.118,0.091,3.338,2,11,0.0,1,1,1,1,1
59,0.0031,-0.014100000000000001,-0.11956,115.8,0.0,0.0,999.0,115.42499999999998,-0.129,0.066,3.241,2,11,0.0,1,1,1,1,1
60,-0.006,-0.0027,-0.07742000000000002,116.7,0.0,0.0,999.0,115.9125,-0.1,0.066,3.279,2,11,0.0,1,1,1,1,1
61,-0.006099999999999999,0.008400000000000001,-0.01764,116.9,0.0,0.0,999.0,116.75,-0.03,0.095,3.257,0,11,0.0,1,1,1,1,1
62,-0.0036999999999999993,0.017800000000000003,-0.003920000000000001,117.5,0.0,0.0,999.0,116.975,0.434,0.173,3.252,0,11,0.0,1,1,1,1,1
63,-0.0158,-0.0157,-0.0441,118.0,0.0,0.0,999.0,117.61111111111111,1.42,0.196,3.349,2,11,0.0,1,1,1,1,1
64,-0.0032000000000000006,-0.012100000000000001,-0.04802,118.5,1.0,0.0,999.0,118.125,1.685,0.184,3.488,4,11,0.0,1,1,1,1,1
65,-0.013000000000000001,-0.0299,-0.09309999999999999,119.0,0.0,0.0,999.0,118.61111111111111,0.0,0.12,3.473,2,11,0.0,1,1,1,1,1
66,-0.013500000000000002,-0.024,-0.18522000000000002,119.2,0.0,1.0,199.94,119.025,-0.01,0.187,3.578,2,11,1.0,1,1,1,1,1
67,-0.0157,0.011800000000000001,-0.15092000000000003,118.5,0.0,1.0,199.46,119.04444444444445,0.069,0.129,3.474,2,11,1.0,1,1,1,1,1
68,0.003000000000000001,0.005,0.07545999999999999,117.5,0.0,2.0,198.96,118.375,0.07,0.138,3.506,1,11,1.0,1,1,1,1,1
69,-0.014100000000000001,0.0186,0.08428000000000001,117.1,0.0,2.0,173.62,117.41111111111111,0.069,0.091,3.495,1,11,1.0,1,1,1,1,1
70,-0.005666666666666666,0.009333333333333334,0.016333333333333335,116.8,0.0,2.0,999.0,117.10000000000001,0.04,0.051,3.495,0,11,0.0,1,1,1,1,1
71,-0.0123,-0.014500000000000002,0.057819999999999996,116.4,0.0,1.0,999.0,116.74285714285713,0.091,0.078,3.49,1,11,0.0,1,1,1,1,1
72,-0.0085,0.023700000000000006,-0.013720000000000006,116.3,0.0,1.0,999.0,116.38749999999999,0.03,0.066,3.43,0,11,0.0,1,1,1,1,1
73,-0.011199999999999998,-0.0066,0.0441,116.2,0.0,1.0,999.0,116.28571428571429,0.04,0.124,3.532,1,11,0.0,1,1,1,1,1
74,-0.005700000000000002,-0.0005000000000000001,0.11466000000000003,116.6,0.0,1.0,999.0,116.25714285714287,0.1,0.087,3.479,1,11,0.0,1,1,1,1,1
75,-0.0139,0.0086,0.06664,117.2,0.0,0.0,999.0,116.66666666666667,0.08,0.097,3.384,1,11,0.0,1,1,1,1,1
76,0.0016,-0.006900000000000001,-0.04312,116.7,0.0,0.0,999.0,117.13750000000002,-0.135,0.089,3.165,2,11,0.0,1,1,1,1,1
77,-0.005599999999999998,-0.0067,-0.2303,116.2,0.0,1.0,999.0,116.64444444444446,-0.147,0.118,2.991,2,11,0.0,1,1,1,1,1
78,-0.0129,0.0187,-0.04606,114.6,0.0,1.0,999.0,116.00000000000001,0.0,0.137,3.274,2,11,0.0,1,1,1,1,1
79,-0.020800000000000003,0.0254,0.02058,114.1,0.0,1.0,999.0,114.53750000000001,0.26,0.151,3.429,0,11,0.0,1,1,1,1,1
80,-0.0021999999999999997,0.012699999999999998,0.07742000000000002,112.9,0.0,1.0,21.65,114.10000000000001,1.124,0.21,3.525,1,11,1.0,1,1,1,1,1
81,0.0011000000000000007,-0.04939999999999999,0.0637,113.3,1.0,1.0,22.99,112.94999999999999,1.537,0.145,3.402,4,11,1.0,1,1,1,1,1
82,-0.008777777777777778,-0.015444444444444443,0.09800000000000003,113.3,0.0,1.0,999.0,113.29999999999998,0.0,-0.0,3.28,1,11,0.0,1,1,1,1,1
83,0.0002999999999999996,0.013399999999999999,0.04018000000000001,113.2,0.0,1.0,999.0,113.27777777777777,0.0,0.04,3.471,1,11,0.0,1,1,1,1,1
84,-0.016200000000000003,0.0128,-0.03919999999999999,113.0,0.0,1.0,999.0,113.17777777777779,-0.203,0.108,3.604,2,11,0.0,1,1,1,1,1
85,-0.0172,0.009400000000000002,-0.20384,111.8,0.0,1.0,999.0,112.86666666666666,-0.119,0.12,3.471,2,11,0.0,1,1,1,1,1
86,-0.0018999999999999996,0.0245,-0.02450000000000001,110.6,0.0,1.0,84.08,111.64999999999999,0.111,0.137,3.528,0,11,1.0,1,1,1,1,1
87,-0.0208,0.0124,-0.14700000000000005,109.6,0.0,1.0,92.08,110.35000000000001,0.102,0.102,3.787,2,11,1.0,1,1,1,1,1
88,-0.0031000000000000016,-0.0008999999999999994,-0.0029399999999999995,109.4,0.0,1.0,99.65,109.575,0.29,0.127,3.603,0,11,1.0,1,1,1,1,1
89,-0.018099999999999998,0.00040000000000000105,0.09702,108.6,0.0,1.0,102.97,109.3,0.362,0.059,3.378,1,11,1.0,1,1,1,1,1
90,0.0010999999999999998,0.003799999999999999,0.08330000000000001,109.3,0.0,1.0,101.72,108.60000000000001,0.38,0.034,3.367,1,11,1.0,1,1,1,1,1
91,0.0009999999999999987,-0.0023,-0.15778,108.4,0.0,1.0,199.92,109.18749999999999,0.37,0.009,3.394,2,11,1.0,1,1,1,1,1
92,-0.0103,-0.005299999999999999,0.11760000000000001,107.0,0.0,1.0,196.51,108.2,0.26,0.01,3.492,1,11,1.0,1,1,1,1,1
93,-0.0112,-0.022300000000000004,0.30184000000000005,107.9,0.0,1.0,155.43,107.1125,0.07,-0.004,3.418,1,11,1.0,1,1,1,1,1
94,-0.017600000000000005,-0.024300000000000002,0.19306000000000004,109.0,0.0,2.0,86.85,108.05714285714285,-0.319,-0.03,3.422,1,11,1.0,1,1,1,1,1
95,-0.0101,0.047799999999999995,0.11956,109.7,-1.0,2.0,6.84,109.10000000000001,0.0,0.053,3.543,3,11,1.0,1,1,1,1,1
96,-0.0187,0.0451,-0.1078,112.0,0.0,3.0,7.16,110.02857142857144,0.76,0.158,3.3,2,11,1.0,1,1,1,1,1
97,-0.005799999999999999,0.009,-0.16072000000000006,112.2,0.0,1.0,9.84,112.02222222222223,0.716,0.112,3.367,2,11,1.0,1,1,1,1,1
98,0.0021,0.0023,-0.05978,112.1,0.0,1.0,11.77,112.18888888888891,0.341,0.034,3.364,2,11,1.0,1,1,1,1,1
99,-0.0262,-0.038,-0.06566000000000001,112.8,0.0,1.0,13.75,112.1875,0.229,0.022,3.385,2,11,1.0,1,1,1,1,1
100,-0.010499999999999999,0.036699999999999997,0.07056,113.0,0.0,1.0,15.35,112.82222222222221,0.32,0.084,3.447,1,11,1.0,1,1,1,1,1
101,-0.018099999999999998,0.005699999999999999,0.02156,113.4,0.0,1.0,17.46,113.05,1.198,0.144,3.438,0,11,1.0,1,1,1,1,1
102,-0.0029000000000000007,-0.042499999999999996,0.023520000000000003,114.5,1.0,1.0,18.3,113.5375,1.5,0.133,3.402,4,11,1.0,1,1,1,1,1
103,-0.012199999999999997,-0.0388,-0.13033999999999998,114.8,0.0,1.0,999.0,114.53333333333333,0.0,-0.0,3.3,2,11,0.0,1,1,1,1,1
104,-0.013199999999999998,-0.0004,0.015680000000000003,114.2,0.0,1.0,999.0,114.73333333333332,-0.07,0.082,3.299,0,11,0.0,1,1,1,1,1
105,-0.0030999999999999995,-0.0113,-0.029399999999999996,114.5,0.0,1.0,999.0,114.23333333333335,0.16,0.098,3.3,0,11,0.0,1,1,1,1,1
106,-0.014299999999999997,0.0075,-0.05684,114.5,0.0,1.0,999.0,114.5,0.289,0.038,3.387,2,11,0.0,1,1,1,1,1
107,-0.0198,0.0201,-0.058800000000000005,114.4,0.0,1.0,999.0,114.4875,0.232,0.011,3.432,2,11,0.0,1,1,1,1,1
108,0.0028000000000000017,0.0038000000000000004,0.023520000000000003,114.4,0.0,1.0,999.0,114.39999999999999,0.312,0.026,3.258,0,11,0.0,1,1,1,1,1
109,-0.0139,0.0042,0.0147,112.6,0.0,1.0,999.0,114.175,0.201,0.054,3.436,0,11,0.0,1,1,1,1,1
110,-0.017875,0.0036249999999999993,0.034300000000000004,112.9,0.0,2.0,999.0,112.6375,0.15,0.018,3.395,1,11,0.0,1,1,1,1,1
111,-0.004099999999999999,-0.005199999999999999,0.03234,113.3,0.0,2.0,999.0,112.94999999999999,0.161,0.033,3.397,1,11,0.0,1,1,1,1,1
112,-0.0005999999999999992,0.010299999999999998,0.025480000000000006,113.3,0.0,2.0,999.0,113.29999999999998,0.17,0.01,3.389,0,11,0.0,1,1,1,1,1
113,-0.012999999999999998,0.0011999999999999986,0.11662,113.3,0.0,2.0,999.0,113.29999999999998,0.01,0.037,3.355,1,11,0.0,1,1,1,1,1
114,-0.0021999999999999997,0.0107,0.23814000000000005,113.8,0.0,1.0,999.0,113.4111111111111,0.07,0.039,3.342,1,11,0.0,1,1,1,1,1
115,-0.013699999999999999,-0.014799999999999999,0.12054000000000002,114.3,0.0,1.0,999.0,113.86249999999998,0.0,0.064,3.281,1,11,0.0,1,1,1,1,1
116,-0.008,0.0125,0.08918000000000001,115.1,0.0,1.0,999.0,114.39999999999999,0.12,0.068,3.22,1,11,0.0,1,1,1,1,1
117,0.004200000000000001,-0.0035000000000000022,-0.13622,116.2,0.0,1.0,999.0,115.22222222222223,0.12,0.049,3.275,2,11,0.0,1,1,1,1,1
118,-0.005900000000000002,0.0015999999999999996,-0.06762000000000003,116.9,0.0,1.0,999.0,116.28750000000001,0.11,0.047,3.271,2,11,0.0,1,1,1,1,1
119,0.0117,-0.024300000000000002,-0.038220000000000004,117.5,0.0,1.0,999.0,117.03333333333333,0.14,0.069,3.257,2,11,0.0,1,1,1,1,1
120,-0.01,-0.004111111111111111,-0.06424444444444444,117.8,0.0,1.0,999.0,117.5,0.15,0.051,3.329,2,11,0.0,1,1,1,1,1
121,0.0025000000000000014,0.0068000000000000005,-0.09114,118.2,0.0,1.0,999.0,117.85,0.14,0.009,3.331,2,11,0.0,1,1,1,1,1
122,-0.011699999999999999,-0.004100000000000001,-0.07546000000000001,118.0,0.0,2.0,999.0,118.17142857142858,0.129,0.051,3.522,2,11,0.0,1,1,1,1,1
123,-0.003700000000000002,-0.009000000000000001,-0.060759999999999995,118.3,0.0,2.0,999.0,118.0375,-0.01,0.046,3.419,2,11,0.0,1,1,1,1,1
124,0.000700000000000002,-0.0166,-0.03724,118.7,0.0,2.0,999.0,118.34444444444443,-0.07,0.04,3.368,2,11,0.0,1,1,1,1,1
125,-0.010499999999999999,-0.008900000000000002,-0.048999999999999995,117.7,0.0,2.0,999.0,118.55714285714286,-0.09,0.059,3.334,2,11,0.0,1,1,1,1,1
126,-0.010599999999999998,0.0036,-0.01078,118.4,0.0,2.0,999.0,117.78750000000001,-0.03,0.08,3.403,0,11,0.0,1,1,1,1,1
127,-0.013000000000000001,-0.012,0.045079999999999995,118.5,0.0,2.0,999.0,118.4125,0.03,0.123,3.407,1,11,0.0,1,1,1,1,1
128,-0.0025,-0.012,-0.0931,118.6,0.0,2.0,68.92,118.5125,0.15,0.122,3.383,2,11,1.0,1,1,1,1,1
129,-0.0211,0.007000000000000001,-0.0294,117.6,0.0,2.0,72.02,118.47500000000001,0.2,0.061,3.394,0,11,1.0,1,1,1,1,1
130,-0.011299999999999998,0.027500000000000004,-0.09016,117.7,0.0,2.0,78.83,117.60000000000001,0.099,0.064,3.447,2,11,1.0,1,1,1,1,1
131,-0.0155,0.007300000000000001,0.017639999999999996,117.9,0.0,3.0,79.81,117.72500000000001,0.11,0.069,3.348,0,11,1.0,1,1,1,1,1
132,-0.014599999999999998,0.0098,-0.06272000000000001,118.1,0.0,1.0,81.36,117.925,0.15,0.065,3.336,2,11,1.0,1,1,1,1,1
133,-0.0003999999999999987,-0.013000000000000001,-0.08526000000000002,118.1,0.0,1.0,87.08,118.10000000000001,0.2,0.04,3.341,2,11,1.0,1,1,1,1,1
134,-0.0010000000000000007,-0.022000000000000002,0.023520000000000003,117.8,0.0,1.0,90.87,118.10000000000001,0.17,0.047,3.359,0,11,1.0,1,1,1,1,1
135,-0.013500000000000002,0.0202,-0.06076000000000001,117.9,0.0,1.0,95.43,117.81249999999999,-0.098,-0.019,3.349,2,11,1.0,1,1,1,1,1
136,-0.002700000000000002,0.0212,-0.019600000000000003,117.9,0.0,1.0,999.0,117.89999999999999,-0.692,-0.023,3.386,0,11,0.0,1,1,1,1,1
137,-0.011666666666666665,0.00911111111111111,-0.047911111111111106,119.2,-1.0,2.0,74.82,118.0625,0.0,0.054,3.407,3,11,1.0,1,1,1,1,1
138,-0.0182,-0.0004,-0.014700000000000001,118.9,0.0,2.0,66.27,119.16250000000001,0.39,0.06,3.366,0,11,1.0,1,1,1,1,1
139,-0.0055,0.0169,0.008820000000000001,119.8,0.0,2.0,104.41,119.0,0.664,0.134,3.356,0,11,1.0,1,1,1,1,1
140,-0.01677777777777778,0.022555555555555558,-0.07404444444444445,120.2,0.0,2.0,101.55,119.85,0.379,0.015,3.366,2,11,1.0,1,1,1,1,1
141,-0.0087,-0.0047,-0.03528,121.3,0.0,1.0,98.1,120.3375,-0.01,0.029,3.387,2,11,1.0,1,1,1,1,1
142,-0.0016000000000000003,0.0030999999999999995,-0.06566,122.2,0.0,1.0,95.58,121.4125,-0.078,0.061,3.419,2,11,1.0,1,1,1,1,1
143,-0.008399999999999998,-0.004,-0.0539,121.8,0.0,1.0,100.7,122.15,-0.08,0.114,3.43,2,11,1.0,1,1,1,1,1
144,-0.0081,-0.0098,-0.03626,122.6,0.0,1.0,107.4,121.89999999999999,0.0,0.109,3.372,2,11,1.0,1,1,1,1,1
145,-0.0154,-0.0102,-0.02156,122.6,0.0,1.0,126.33,122.60000000000001,0.02,0.088,3.441,0,11,1.0,1,1,1,1,1
146,-0.011599999999999997,-0.003999999999999999,-0.07252,122.3,0.0,1.0,125.62,122.5625,-0.07,0.092,3.413,2,11,1.0,1,1,1,1,1
147,0.0017000000000000019,-0.006799999999999999,-0.06860000000000001,123.3,0.0,1.0,108.83,122.44285714285714,0.02,0.084,3.364,2,11,1.0,1,1,1,1,1
148,-0.0125,-0.0156,-0.08134000000000001,122.8,0.0,1.0,94.94,123.17499999999998,0.0,0.114,3.372,2,11,1.0,1,1,1,1,1
149,-0.007200000000000001,-0.008799999999999999,-0.018620000000000005,123.7,0.0,1.0,92.64,122.92857142857143,0.119,0.111,3.403,0,11,1.0,1,1,1,1,1
150,-0.0174,-0.007000000000000001,-0.11662000000000003,123.3,0.0,1.0,79.71,123.70000000000002,0.201,0.091,3.433,2,11,1.0,1,1,1,1,1
151,-0.011000000000000001,0.011699999999999999,-0.21266,122.7,0.0,1.0,75.86,123.225,0.15,0.077,3.454,2,11,1.0,1,1,1,1,1
152,-0.014100000000000001,0.0157,-0.01666,121.0,0.0,1.0,63.04,122.70000000000002,0.04,0.046,3.476,0,11,1.0,1,1,1,1,1
153,-0.0007000000000000008,0.00019999999999999982,-0.005879999999999999,120.5,0.0,1.0,50.8,120.9375,0.05,0.06,3.416,0,11,1.0,1,1,1,1,1
154,-0.013699999999999999,-0.0193,-0.05978,119.6,0.0,1.0,43.15,120.3875,0.131,0.069,3.467,2,11,1.0,1,1,1,1,1
155,-0.006999999999999999,-0.010400000000000001,-0.017640000000000003,120.7,0.0,2.0,38.25,119.75714285714287,0.161,0.074,3.465,0,11,1.0,1,1,1,1,1
156,-0.0077,0.0086,0.017640000000000003,118.5,0.0,2.0,32.03,120.42500000000001,0.22,0.06,3.402,0,11,1.0,1,1,1,1,1
157,-0.007200000000000002,0.004900000000000002,0.13230000000000003,116.9,0.0,2.0,28.18,118.3,0.081,0.065,3.372,1,11,1.0,1,1,1,1,1
158,0.0056,-0.011699999999999999,0.12445999999999999,117.5,0.0,2.0,24.37,116.975,0.05,0.075,3.253,1,11,1.0,1,1,1,1,1
159,-0.018400000000000003,-0.0012000000000000003,0.06174,117.6,0.0,2.0,23.56,117.5125,0.05,0.053,3.303,1,11,1.0,1,1,1,1,1
160,-0.006777777777777779,-0.011888888888888888,0.004355555555555553,116.7,0.0,2.0,23.33,117.60000000000001,-0.149,0.102,3.606,0,11,1.0,1,1,1,1,1
161,-0.005700000000000001,-0.0279,-0.07154000000000002,117.5,0.0,2.0,22.03,116.80000000000001,-0.279,0.079,3.357,2,11,1.0,1,1,1,1,1
162,-0.002999999999999999,0.028900000000000002,-0.18130000000000002,118.5,0.0,2.0,54.65,117.5,-0.673,-0.002,3.473,2,11,1.0,1,1,1,1,1
163,0.0040999999999999995,0.0603,-0.06860000000000001,117.3,-1.0,2.0,22.24,118.5,0.0,0.026,5.24,3,11,1.0,1,1,1,1,1
164,-0.012200000000000004,0.0115,0.10878000000000002,117.7,0.0,2.0,22.6,117.35,0.51,0.218,3.318,1,11,1.0,1,1,1,1,1
165,-0.009222222222222222,-0.006666666666666667,0.05335555555555555,119.3,0.0,2.0,24.16,117.9,0.06,0.16,3.21,1,11,1.0,1,1,1,1,1
166,-0.0078,-0.0101,-0.03724000000000001,118.5,0.0,2.0,27.64,119.18571428571428,0.01,0.074,3.205,2,11,1.0,1,1,1,1,1
167,0.0121,-0.004299999999999999,-0.0441,119.2,0.0,2.0,32.98,118.60000000000001,-0.01,0.083,3.165,2,11,1.0,1,1,1,1,1
168,-0.0123,0.0005999999999999998,-0.09996,121.1,0.0,2.0,36.46,119.43750000000001,-0.07,0.078,3.365,2,11,1.0,1,1,1,1,1
169,0.006499999999999999,-0.011699999999999999,-0.10289999999999999,121.9,0.0,1.0,45.84,121.2,0.0,0.059,3.262,2,11,1.0,1,1,1,1,1
170,-0.0128,-0.0032,-0.04998,120.8,0.0,1.0,54.16,121.89999999999999,0.0,0.057,3.29,2,11,1.0,1,1,1,1,1
171,-0.0178,0.0329,-0.046060000000000004,121.9,0.0,2.0,63.41,120.79999999999998,0.01,0.078,3.251,2,11,1.0,1,1,1,1,1
172,-0.020300000000000002,0.023200000000000002,-0.048999999999999995,121.7,0.0,2.0,70.51,121.875,0.34,0.163,3.257,2,11,1.0,1,1,1,1,1
173,-0.0091,-0.0225,-0.04312,122.5,0.0,2.0,999.0,121.8777777777778,1.078,0.157,3.363,2,11,0.0,1,1,1,1,1
174,-0.008199999999999999,-0.015,-0.07742,123.0,1.0,2.0,77.13,122.57142857142857,1.501,0.133,3.334,4,11,1.0,1,1,1,1,1
175,-0.017099999999999997,-0.045399999999999996,-0.11662000000000002,122.1,0.0,1.0,73.5,122.8875,0.0,-0.0,3.296,2,11,1.0,1,1,1,1,1
176,-0.009200000000000003,-0.0070999999999999995,-0.08232,121.9,0.0,1.0,74.48,122.075,0.0,0.058,3.296,2,11,1.0,1,1,1,1,1
177,-0.0158,0.016400000000000005,-0.02548000000000001,121.4,0.0,2.0,77.31,121.89999999999999,-0.282,0.108,3.308,0,11,1.0,1,1,1,1,1
178,-0.0088,-0.0050999999999999995,0.02156,121.4,0.0,2.0,70.25,121.39999999999999,-0.131,0.114,3.348,0,11,1.0,1,1,1,1,1
179,0.003000000000000002,0.023200000000000002,0.04508,120.6,0.0,2.0,61.15,121.3,-0.128,0.082,3.418,1,11,1.0,1,1,1,1,1
180,0.0009000000000000003,0.026000000000000002,0.08428000000000001,120.6,0.0,2.0,60.04,120.60000000000001,-0.149,0.094,3.308,1,11,1.0,1,1,1,1,1
181,-0.024,0.0162,-0.03626000000000001,121.1,0.0,2.0,67.61,120.60000000000001,-0.159,0.128,3.414,2,11,1.0,1,1,1,1,1
182,-0.0058,0.0182,-0.04116000000000001,120.8,0.0,1.0,71.18,121.10000000000001,-0.099,0.119,3.534,2,11,1.0,1,1,1,1,1
183,-0.007499999999999998,0.0084,-0.0833,120.7,0.0,1.0,65.01,120.7875,-0.059,0.116,3.366,2,11,1.0,1,1,1,1,1
